,reward,steps,found
258,-198894.2535349051,11,False
259,192253.4362718757,9,True
260,-211795.1810938705,52,False
261,184854.7361022668,17,True
262,188454.44452667865,15,True
263,189815.877123589,13,True
264,191544.95514000213,10,True
265,183655.58566896265,19,True
266,191598.2227098173,10,True
267,186002.29703399612,17,True
268,171668.47168959727,27,True
269,190192.4981438733,13,True
270,183027.19853697988,19,True
271,188834.67768728748,15,True
272,191443.95514000213,10,True
273,188150.4661393301,15,True
274,189902.2521452735,13,True
275,189724.16673129523,14,True
276,191451.03688167897,11,True
277,191588.21609892865,10,True
278,191403.41495949225,11,True
279,191261.42801175837,11,True
280,190601.4805363801,11,True
281,191073.1576601224,11,True
282,191444.34632227724,11,True
283,187239.14029719585,16,True
284,187678.61745380648,16,True
285,190566.1045121973,12,True
286,170787.40756461947,28,True
287,191769.05289345872,10,True
288,171730.83762579245,27,True
289,189947.606229968,13,True
290,188273.99321430543,15,True
291,191374.12495636076,10,True
292,190961.21441744245,12,True
293,-213327.02094816192,55,False
294,188627.19853697988,15,True
295,190604.56786444524,12,True
296,191387.83190919,11,True
297,189832.825363156,13,True
298,184300.81890612957,18,True
299,190660.2800672156,12,True
300,183868.9694630792,18,True
301,177427.19853697988,23,True
302,-199461.3622231056,19,False
303,166310.5514125199,31,True
304,190257.947845315,12,True
305,191619.825054187,10,True
306,166012.16934066202,31,True
307,188829.6517995861,15,True
308,163506.75420697543,33,True
309,180304.98995130995,21,True
310,191598.2227098173,10,True
311,163475.53725704885,33,True
312,191554.9617508908,10,True
313,191826.89175112787,10,True
314,189450.0072145104,14,True
315,191588.21609892865,10,True
316,185544.6916246049,17,True
317,191671.06201483836,10,True
318,192475.76320271255,9,True
319,188664.135641722,15,True
320,-109544.69116939098,57,False
321,180430.11618762705,21,True
322,191759.04628257005,10,True
323,191793.63740309,10,True
324,181056.2034404472,20,True
325,186839.9327911205,16,True
326,187664.12060674888,16,True
327,189169.0684673643,14,True
328,180541.622836401,21,True
329,189158.3081638336,15,True
330,191419.2525971988,11,True
331,161552.51690619864,35,True
332,192249.09114256792,9,True
333,-204382.9871796497,33,False
334,191427.71463823933,11,True
335,184886.7324389375,18,True
336,191218.53052307435,11,True
337,192035.0,9,True
338,162217.02500020544,34,True
339,191372.8581909334,11,True
340,191544.95514000213,10,True
341,158577.94636411624,36,True
342,189467.2367391928,14,True
343,188505.6472414673,15,True
344,191951.18762089236,10,True
345,184685.7437045926,18,True
346,190257.6447653979,12,True
347,192148.09114256792,9,True
348,191004.03619920323,12,True
349,186508.4844963269,16,True
350,191029.66088946615,11,True
351,166594.16408115695,31,True
352,191421.05345791057,10,True
353,192035.0,9,True
354,190971.4024226034,12,True
355,190031.39163699083,13,True
356,184508.5728202844,18,True
357,186342.69317820764,16,True
358,191108.04776989072,11,True
359,164832.8281509745,32,True
360,191846.44212976427,10,True
361,-209263.4101475512,47,False
362,190681.59003575725,13,True
363,177348.09858956895,23,True
364,190324.6730755887,13,True
365,186807.05793834472,16,True
366,190796.1501598812,12,True
367,188498.2065046325,15,True
368,191980.7516074633,10,True
369,190449.21216845288,12,True
370,-205258.41745523157,35,False
371,173827.5331954433,25,True
372,-199840.78129100092,19,False
373,174693.76476095282,25,True
374,177684.34199160655,23,True
375,191541.48394003557,10,True
376,173254.0643844195,26,True
377,183947.87561744323,18,True
378,191077.0976617312,11,True
379,187362.4107126551,15,True
380,183224.0447381529,19,True
381,191544.95514000213,10,True
382,-202605.10765648863,25,False
383,175020.2054010622,25,True
384,181000.6459028448,20,True
385,185682.9848387458,17,True
386,179807.44026344112,21,True
387,181435.30744404055,20,True
388,190218.17473052567,13,True
389,191015.03826726877,11,True
390,-115759.55830039908,74,False
391,190064.2503446012,13,True
392,191798.83604153,10,True
393,191187.20983794157,11,True
394,184354.16558936884,18,True
395,160501.08441604383,35,True
396,190527.5588231319,12,True
397,133584.02357824738,55,True
398,174623.41735305107,25,True
399,192249.09114256792,9,True
400,190366.50053666095,13,True
401,-197959.48542022824,13,False
402,185573.98216506507,17,True
403,187572.507332005,15,True
