Reinforce Rewards,Reinforce Steps,Reinforce Found,Parallel Sweep Rewards,Parallel Sweep Steps,Parallel Sweep Found
175413.93397504807,60,True,-100000,202,False
186930.61421097757,28,True,-100000.0,202,False
189303.9699125228,23,True,-100000,202,False
182752.64082302316,38,True,-100000,202,False
181044.6548480236,41,True,-100000.0,202,False
183152.59229336225,37,True,-100000,202,False
183391.5734227549,38,True,-100000,202,False
172441.87087149054,66,True,-100000.0,202,False
187753.58160432187,25,True,-100000.0,202,False
190059.3092991854,22,True,-100000.0,202,False
-96106.82459701592,94,False,-100000,202,False
183665.0388012191,37,True,-100000.0,202,False
146572.48520744767,128,True,-100000.0,202,False
190447.45010696648,21,True,-100000.0,202,False
-89986.5216160559,122,False,-100000,202,False
176073.28163971053,51,True,-100000.0,202,False
185368.03979787783,36,True,-100000,202,False
179389.01049391378,42,True,-100000,202,False
177561.55748430477,53,True,-100000,202,False
180650.22471524327,46,True,-100000,202,False
188472.92026374498,25,True,-100000,202,False
-77990.63592207778,185,False,148850.55460646696,97,True
177956.33156271177,49,True,-100000.0,202,False
168962.87572297754,79,True,-100000.0,202,False
145891.36919516372,134,True,-100000,202,False
188150.4146284657,27,True,-100000,202,False
187413.06109608986,28,True,-100000,202,False
190715.0,19,True,-100000,202,False
186690.28762940082,30,True,-100000,202,False
186378.54243976908,32,True,-100000,202,False
184548.54476668691,35,True,-100000,202,False
191053.67316527982,19,True,-100000,202,False
-100000.0,202,False,-100000,202,False
183548.92889281345,36,True,-100000,202,False
187469.84440174748,29,True,-100000,202,False
187732.59723245993,28,True,-100000.0,202,False
180795.0245818325,46,True,-100000,202,False
180238.14743399297,45,True,-100000,202,False
185661.1793449544,31,True,-100000.0,202,False
120786.48576786346,173,True,-100000,202,False
186437.9369962981,30,True,-100000,202,False
191214.0,18,True,-100000.0,202,False
183982.83306915595,35,True,-100000,202,False
138335.19567111327,147,True,-100000,202,False
184351.2154262745,38,True,-100000,202,False
179289.79625473596,52,True,-100000.0,202,False
-87673.38402111486,111,False,-100000,202,False
188478.62384546653,24,True,-100000,202,False
183687.55921464655,36,True,-100000,202,False
185316.2046629568,35,True,-100000,202,False
190317.0,20,True,-100000.0,202,False
182138.50125537728,43,True,-100000,202,False
158414.1545651105,86,True,-100000,202,False
166420.00546842726,84,True,-100000.0,202,False
184321.42828948787,36,True,-100000,202,False
187275.4139817653,30,True,-100000,202,False
184673.82139093603,34,True,-100000.0,202,False
189420.0,22,True,-100000,202,False
177085.3081757152,53,True,-100000,202,False
189875.11960844626,21,True,-100000,202,False
186735.2074196655,30,True,-100000,202,False
188339.17193461955,25,True,-100000,202,False
182908.0628929706,39,True,-100000,202,False
185930.2728086039,33,True,-100000.0,202,False
139249.650102138,140,True,-100000,202,False
179203.63370548075,48,True,-100000,202,False
182960.719853862,37,True,-100000.0,202,False
178031.30191686098,53,True,-100000,202,False
173469.40665555236,67,True,-100000.0,202,False
186458.38439843044,28,True,-100000.0,202,False
182233.1084863797,41,True,-100000,202,False
180076.63395728127,46,True,-100000,202,False
155315.44217618622,96,True,-100000,202,False
187618.7023552452,27,True,-100000,202,False
177003.56372617208,53,True,-100000.0,202,False
