Reinforce Rewards,Reinforce Steps,Reinforce Found,Greedy Rewards,Greedy Steps,Greedy Found
195933.88629998162,13,True,191905.28800039765,11,True
192890.5352291878,11,True,191905.28800039765,11,True
189199.04139249993,30,True,191905.28800039765,11,True
-193912.47442646936,12,False,194981.31022377734,13,True
200842.46601260646,15,True,190283.05564772792,12,True
194364.89064234632,11,True,193464.17098003923,12,True
191980.83120638703,11,True,191279.05980397871,11,True
194582.56539184003,13,True,191279.05980397871,11,True
191988.6049486864,16,True,191279.05980397871,11,True
194027.9277049562,12,True,191279.05980397871,11,True
190595.4852396051,13,True,194981.31022377734,13,True
192520.5138090374,11,True,191279.05980397871,11,True
195614.15033765175,24,True,192837.93872054806,12,True
196728.86046226602,13,True,191279.05980397871,11,True
193029.92832215663,11,True,192837.93872054806,12,True
193614.54316159687,11,True,192185.97459601212,13,True
